index,x_offset,y_offset,x_advance,y_advance,codepoint
57,0,0,4,0,63743
40,0,0,9,0,63742
47,0,0,7,0,63741
65,0,0,0,0,63740
45,0,0,9,0,63739
50,0,0,9,0,63738
59,0,0,4,0,63737
5,0,0,0,0,63736
68,0,0,4,0,63735
21,0,0,8,0,63734
53,0,0,11,0,63733
48,0,0,10,0,63732
60,0,0,0,0,63731
36,0,0,9,0,63730
46,0,0,9,0,63729
41,0,0,9,0,63728
33,0,0,8,0,63727
38,0,0,7,0,63726
23,0,0,10,0,63725
31,0,0,7,0,63724
627,0,0,4,0,63723
54,0,0,10,0,63722
43,0,0,11,0,63721
651,0,0,4,0,63720
51,0,0,11,0,63719
28,0,0,13,0,63718
35,0,0,13,0,63717
37,0,0,10,0,63716
26,0,0,10,0,63715
16,0,0,14,0,63714
7,0,0,14,0,63713
625,0,0,4,0,63712
44,0,0,13,0,63711
49,0,0,12,0,63710
39,0,0,9,0,63709
22,0,0,12,0,63708
131,0,0,0,0,63707
152,0,0,6,0,63706
471,0,0,9,0,63705
19,0,0,18,0,63704
61,0,0,0,0,63703
8,0,0,18,0,63702
165,0,0,8,0,63701
628,0,0,4,0,63700
65,-1,0,0,0,63699
42,0,0,8,0,63698
626,0,0,4,0,63697
9,0,0,10,0,63696
224,0,0,9,0,63695
29,0,0,11,0,63694
10,0,0,10,0,63693
650,0,0,4,0,63692
472,0,0,9,0,63691
440,0,0,16,0,63690
11,0,0,10,0,63689
441,0,0,16,0,63688
160,0,0,7,0,63687
482,0,0,11,0,63686
649,0,0,0,0,63685
476,0,0,9,0,63684
133,0,0,8,0,63683
27,0,0,12,0,63682
475,0,0,9,0,63681
219,0,0,9,0,63680
60,-1,0,0,0,63679
148,0,0,6,0,63678
673,-2,0,0,0,63677
77,0,0,9,0,63676
52,0,0,9,0,63675
24,0,0,10,0,63674
716,0,0,7,0,63673
129,0,0,11,0,63672
66,0,0,0,0,63671
78,0,0,9,0,63670
32,0,0,8,0,63669
404,0,0,4,0,63668
446,0,0,7,0,63667
463,0,0,10,0,63666
468,0,0,9,0,63665
62,0,0,0,0,63664
76,0,0,9,0,63663
629,0,0,4,0,63662
34,0,0,8,0,63661
221,0,0,8,0,63660
442,0,0,13,0,63659
204,0,0,8,0,63658
157,0,0,6,0,63657
81,0,0,9,0,63656
83,0,0,9,0,63655
445,0,0,11,0,63654
85,0,0,9,0,63653
79,0,0,9,0,63652
80,0,0,9,0,63651
84,0,0,9,0,63650
713,0,0,4,0,63649
82,0,0,9,0,63648
708,0,0,15,0,63647
206,0,0,10,0,63646
153,0,0,6,0,63645
479,0,0,9,0,63644
477,0,0,10,0,63643
373,0,0,10,0,63642
6,0,0,4,0,63641
69,0,0,4,0,63640
474,0,0,13,0,63639
214,0,0,7,0,63638
473,0,0,11,0,63637
135,0,0,6,0,63636
377,0,0,11,0,63635
414,0,0,0,0,63634
480,0,0,11,0,63633
64,0,0,0,0,63632
674,-1,0,0,0,63631
60,-2,0,0,0,63630
226,0,0,11,0,63629
233,0,0,11,0,63628
390,0,0,13,0,63627
710,0,0,17,0,63626
164,0,0,7,0,63625
138,0,0,7,0,63624
67,0,0,4,0,63623
423,0,0,4,0,63622
391,0,0,12,0,63621
151,0,0,7,0,63620
470,0,0,9,0,63619
634,0,0,4,0,63618
155,0,0,9,0,63617
415,0,0,0,0,63616
674,-2,0,0,0,63615
70,0,0,0,0,63614
395,0,0,16,0,63613
130,0,0,11,0,63612
424,0,0,4,0,63611
408,0,0,4,0,63610
61,-1,0,0,0,63609
633,0,0,4,0,63608
62,-1,0,0,0,63607
382,0,0,9,0,63606
704,0,0,8,0,63605
465,0,0,10,0,63604
384,0,0,10,0,63603
448,0,0,8,0,63602
673,-1,0,0,0,63601
143,0,0,7,0,63600
163,0,0,7,0,63599
354,0,0,21,0,63598
12,0,0,14,0,63597
462,0,0,12,0,63596
383,0,0,10,0,63595
409,0,0,4,0,63594
639,0,0,4,0,63593
630,0,0,4,0,63592
653,0,0,4,0,63591
715,0,0,5,0,63590
632,0,0,4,0,63589
225,0,0,8,0,63588
357,0,0,7,0,63587
154,0,0,8,0,63586
478,0,0,12,0,63585
147,0,0,9,0,63584
631,0,0,4,0,63583
376,0,0,7,0,63582
398,0,0,13,0,63581
216,0,0,8,0,63580
140,0,0,13,0,63579
429,0,0,0,0,63578
344,0,0,14,0,63577
464,0,0,10,0,63576
620,0,0,0,0,63575
346,0,0,11,0,63574
162,0,0,6,0,63573
145,0,0,8,0,63572
621,0,0,0,0,63571
705,0,0,16,0,63570
345,0,0,16,0,63569
430,0,0,10,0,63568
393,0,0,13,0,63567
149,0,0,7,0,63566
552,0,0,16,0,63565
387,0,0,14,0,63564
15,0,0,14,0,63563
673,0,0,0,0,63562
13,0,0,13,0,63561
370,0,0,16,0,63560
168,0,0,8,0,63559
637,0,0,4,0,63558
469,0,0,10,0,63557
447,0,0,9,0,63556
4,0,0,0,0,63555
709,0,0,15,0,63554
714,0,0,5,0,63553
432,0,0,10,0,63552
444,0,0,7,0,63551
60,-3,0,0,0,63550
707,0,0,15,0,63549
232,0,0,9,0,63548
362,0,0,15,0,63547
134,0,0,9,0,63546
156,0,0,10,0,63545
402,0,0,7,0,63544
655,0,0,4,0,63543
433,0,0,10,0,63542
18,0,0,18,0,63541
5,-1,0,0,0,63540
399,0,0,13,0,63539
392,0,0,12,0,63538
431,0,0,14,0,63537
227,0,0,13,0,63536
61,-2,0,0,0,63535
386,0,0,17,0,63534
640,0,0,4,0,63533
5,-2,0,0,0,63532
559,0,0,15,0,63531
562,0,0,16,0,63530
158,0,0,6,0,63529
141,0,0,10,0,63528
20,0,0,18,0,63527
228,0,0,9,0,63526
61,-3,0,0,0,63525
66,-1,0,0,0,63524
635,0,0,4,0,63523
364,0,0,8,0,63522
150,0,0,7,0,63521
17,0,0,14,0,63520
435,0,0,14,0,63519
524,0,0,11,0,63518
235,0,0,11,0,63517
159,0,0,7,0,63516
388,0,0,11,0,63515
426,0,0,4,0,63514
512,0,0,9,0,63513
222,0,0,9,0,63512
414,-1,0,0,0,63511
483,0,0,11,0,63510
517,0,0,11,0,63509
367,0,0,7,0,63508
374,0,0,8,0,63507
381,0,0,11,0,63506
417,0,0,0,0,63505
514,0,0,9,0,63504
578,0,0,13,0,63503
641,0,0,4,0,63502
107,0,0,8,0,63501
236,0,0,10,0,63500
60,0,-1,0,0,63499
220,0,0,10,0,63498
389,0,0,17,0,63497
70,-1,0,0,0,63496
64,-1,0,0,0,63495
638,0,0,4,0,63494
136,0,0,7,0,63493
556,0,0,21,0,63492
397,0,0,10,0,63491
566,0,0,9,0,63490
74,0,0,0,0,63489
652,0,0,4,0,63488
289,0,0,6,0,63487
568,0,0,16,0,63486
0,0,0,9,0,63485
672,-2,0,0,0,63484
380,0,0,9,0,63483
131,-4,0,0,0,63482
30,0,0,11,0,63481
166,0,0,7,0,63480
116,0,0,8,0,63479
569,0,0,17,0,63478
5,-4,0,0,0,63477
415,-1,0,0,0,63476
25,0,0,8,0,63475
507,0,0,10,0,63474
481,0,0,9,0,63473
516,0,0,9,0,63472
420,0,0,4,0,63471
211,0,0,13,0,63470
363,0,0,15,0,63469
131,-1,0,0,0,63468
467,0,0,13,0,63467
609,0,0,0,0,63466
438,0,0,18,0,63465
671,0,0,0,0,63464
654,0,0,4,0,63463
102,0,0,13,0,63462
366,0,0,17,0,63461
645,0,0,4,0,63460
71,0,0,14,0,63459
