index,x_offset,y_offset,x_advance,y_advance,codepoint
51,0,0,4,0,63743
43,0,0,9,0,63742
53,0,0,4,0,63741
36,0,0,10,0,63740
48,0,0,9,0,63739
52,0,0,4,0,63738
17,0,0,10,0,63737
44,0,0,11,0,63736
56,0,0,0,0,63735
41,0,0,9,0,63734
34,0,0,10,0,63733
32,0,0,8,0,63732
58,0,0,0,0,63731
46,0,0,9,0,63730
54,0,0,0,0,63729
39,0,0,10,0,63728
37,0,0,9,0,63727
49,0,0,9,0,63726
19,0,0,12,0,63725
27,0,0,9,0,63724
8,0,0,15,0,63723
77,0,0,0,0,63722
24,0,0,10,0,63721
5,0,0,0,0,63720
29,0,0,9,0,63719
55,0,0,0,0,63718
7,0,0,12,0,63717
57,0,0,0,0,63716
47,0,0,9,0,63715
78,0,0,0,0,63714
22,0,0,10,0,63713
31,0,0,10,0,63712
18,0,0,9,0,63711
9,0,0,13,0,63710
38,0,0,9,0,63709
10,0,0,13,0,63708
65,0,0,9,0,63707
64,0,0,10,0,63706
42,0,0,11,0,63705
11,0,0,10,0,63704
13,0,0,9,0,63703
40,0,0,9,0,63702
33,0,0,9,0,63701
35,0,0,9,0,63700
15,0,0,10,0,63699
59,0,0,0,0,63698
111,0,0,0,0,63697
56,-3,0,0,0,63696
20,0,0,12,0,63695
14,0,0,12,0,63694
23,0,0,10,0,63693
145,0,0,0,0,63692
66,0,0,9,0,63691
146,0,0,0,0,63690
131,0,0,0,0,63689
77,-3,0,0,0,63688
25,0,0,9,0,63687
28,0,0,10,0,63686
68,0,0,9,0,63685
144,0,0,0,0,63684
12,0,0,10,0,63683
153,-3,0,0,0,63682
69,0,0,9,0,63681
72,0,0,9,0,63680
70,0,0,9,0,63679
73,0,0,9,0,63678
71,0,0,9,0,63677
30,0,0,10,0,63676
74,0,0,9,0,63675
75,0,0,9,0,63674
143,0,0,4,0,63673
76,0,0,9,0,63672
62,0,0,9,0,63671
67,0,0,9,0,63670
137,0,0,10,0,63669
130,0,0,10,0,63668
239,0,0,9,0,63667
112,0,0,0,0,63666
132,0,0,0,0,63665
57,-3,0,0,0,63664
60,0,0,0,0,63663
16,0,0,12,0,63662
147,0,0,0,0,63661
164,0,0,0,0,63660
45,0,0,11,0,63659
140,0,0,12,0,63658
59,-3,0,0,0,63657
156,0,0,10,0,63656
141,0,0,10,0,63655
63,0,0,12,0,63654
60,-2,0,0,0,63653
60,-1,0,0,0,63652
114,0,0,10,0,63651
131,-1,0,0,0,63650
139,0,0,9,0,63649
159,0,0,12,0,63648
79,0,0,9,0,63647
138,0,0,10,0,63646
80,0,0,10,0,63645
132,-1,0,0,0,63644
136,0,0,13,0,63643
113,0,0,0,0,63642
60,1,0,0,0,63641
87,0,0,10,0,63640
26,0,0,9,0,63639
154,-3,0,0,0,63638
50,0,0,0,0,63637
0,0,0,9,0,63636
21,0,0,9,0,63635
145,-3,0,0,0,63634
58,-2,0,0,0,63633
240,0,0,11,0,63632
56,-2,0,0,0,63631
163,0,0,0,0,63630
144,-3,0,0,0,63629
165,0,0,0,0,63628
133,0,0,0,0,63627
134,0,0,9,0,63626
6,0,0,6,0,63625
115,0,0,0,0,63624
125,0,0,0,0,63623
120,0,0,0,0,63622
135,0,0,9,0,63621
4,0,0,0,0,63620
77,-2,0,0,0,63619
5,-2,0,0,0,63618
142,0,0,12,0,63617
57,-2,0,0,0,63616
82,0,0,0,0,63615
61,0,0,0,0,63614
5,-3,0,0,0,63613
147,-2,0,0,0,63612
81,0,0,23,0,63611
133,-1,0,0,0,63610
102,0,0,10,0,63609
96,0,0,10,0,63608
162,0,0,4,0,63607
59,-2,0,0,0,63606
166,0,0,0,0,63605
112,1,0,0,0,63604
160,0,0,10,0,63603
158,0,0,9,0,63602
126,0,0,0,0,63601
107,0,0,11,0,63600
150,0,0,3,0,63599
100,0,0,10,0,63598
50,-1,0,0,0,63597
108,0,0,9,0,63596
125,-1,0,0,0,63595
110,0,0,9,0,63594
104,0,0,10,0,63593
145,-2,0,0,0,63592
157,0,0,10,0,63591
116,0,0,0,0,63590
121,0,0,0,0,63589
98,0,0,8,0,63588
146,-2,0,0,0,63587
113,1,0,0,0,63586
164,-2,0,0,0,63585
50,-3,0,0,0,63584
58,-3,0,0,0,63583
144,-2,0,0,0,63582
152,0,0,0,0,63581
241,0,0,1,0,63580
54,-2,0,0,0,63579
55,-2,0,0,0,63578
117,0,0,0,0,63577
161,0,0,12,0,63576
85,0,0,10,0,63575
106,0,0,9,0,63574
103,0,0,9,0,63573
120,-1,0,0,0,63572
242,0,0,1,0,63571
94,0,0,9,0,63570
50,-6,0,0,0,63569
92,0,0,9,0,63568
155,0,0,13,0,63567
115,-1,0,0,0,63566
83,0,0,4,0,63565
109,0,0,9,0,63564
4,-2,0,0,0,63563
116,-1,0,0,0,63562
146,-3,0,0,0,63561
151,0,0,0,0,63560
99,0,0,9,0,63559
78,1,0,0,0,63558
82,-1,0,0,0,63557
4,-3,0,0,0,63556
61,1,0,0,0,63555
148,0,0,10,0,63554
97,0,0,10,0,63553
163,-2,0,0,0,63552
61,-1,0,0,0,63551
54,-6,0,0,0,63550
166,-1,0,0,0,63549
122,0,0,0,0,63548
90,0,0,10,0,63547
50,-4,0,0,0,63546
55,-3,0,0,0,63545
88,0,0,12,0,63544
82,1,0,0,0,63543
123,0,0,0,0,63542
54,-3,0,0,0,63541
127,0,0,0,0,63540
165,-3,0,0,0,63539
147,-3,0,0,0,63538
95,0,0,10,0,63537
93,0,0,9,0,63536
89,0,0,9,0,63535
86,0,0,10,0,63534
164,-3,0,0,0,63533
