index,x_offset,y_offset,x_advance,y_advance,codepoint
60,0,0,7,0,63743
63,0,0,6,0,63742
64,0,0,12,0,63741
6,0,0,9,0,63740
74,0,0,6,0,63739
25,0,0,10,0,63738
49,0,0,10,0,63737
40,0,0,12,0,63736
42,0,0,11,0,63735
23,0,0,9,0,63734
56,0,0,11,0,63733
52,0,0,11,0,63732
53,0,0,12,0,63731
38,0,0,10,0,63730
43,0,0,12,0,63729
47,0,0,18,0,63728
51,0,0,12,0,63727
282,0,0,6,0,63726
48,0,0,21,0,63725
242,0,0,9,0,63724
35,0,0,12,0,63723
93,0,0,9,0,63722
124,0,0,2,0,63721
113,0,0,1,0,63720
9,0,0,13,0,63719
45,0,0,12,0,63718
232,0,0,10,0,63717
126,0,0,1,0,63716
123,0,0,4,0,63715
244,0,0,10,0,63714
57,0,0,13,0,63713
259,0,0,11,0,63712
233,0,0,12,0,63711
221,0,0,10,0,63710
225,0,0,12,0,63709
278,0,0,4,0,63708
266,0,0,10,0,63707
235,0,0,13,0,63706
267,0,0,12,0,63705
163,0,0,12,0,63704
108,0,0,2,0,63703
136,0,0,9,0,63702
257,0,0,12,0,63701
223,0,0,12,0,63700
210,0,0,10,0,63699
255,0,0,10,0,63698
33,0,0,13,0,63697
238,0,0,11,0,63696
218,0,0,12,0,63695
234,0,0,11,0,63694
37,0,0,14,0,63693
117,0,0,2,0,63692
158,0,0,18,0,63691
153,0,0,11,0,63690
115,0,0,1,0,63689
30,0,0,12,0,63688
98,0,0,3,0,63687
262,0,0,13,0,63686
160,0,0,10,0,63685
269,0,0,12,0,63684
189,0,0,16,0,63683
54,0,0,10,0,63682
166,0,0,11,0,63681
28,0,0,12,0,63680
272,0,0,11,0,63679
208,0,0,9,0,63678
151,0,0,12,0,63677
161,0,0,12,0,63676
196,0,0,15,0,63675
10,0,0,13,0,63674
159,0,0,21,0,63673
138,0,0,10,0,63672
118,0,0,2,0,63671
252,0,0,12,0,63670
154,0,0,12,0,63669
128,0,0,2,0,63668
273,0,0,13,0,63667
279,0,0,10,0,63666
231,0,0,21,0,63665
127,0,0,2,0,63664
260,0,0,12,0,63663
149,0,0,10,0,63662
75,0,0,3,0,63661
228,0,0,13,0,63660
13,0,0,19,0,63659
156,0,0,13,0,63658
212,0,0,12,0,63657
216,0,0,13,0,63656
230,0,0,18,0,63655
100,0,0,0,0,63654
264,0,0,18,0,63653
55,0,0,13,0,63652
11,0,0,11,0,63651
17,0,0,12,0,63650
122,0,0,4,0,63649
131,0,0,2,0,63648
250,0,0,13,0,63647
226,0,0,12,0,63646
220,0,0,14,0,63645
214,0,0,12,0,63644
239,0,0,12,0,63643
46,0,0,13,0,63642
182,0,0,17,0,63641
167,0,0,13,0,63640
110,0,0,1,0,63639
268,0,0,11,0,63638
198,0,0,17,0,63637
41,0,0,12,0,63636
236,0,0,10,0,63635
82,0,0,11,0,63634
120,0,0,2,0,63633
81,0,0,11,0,63632
20,0,0,12,0,63631
172,0,0,15,0,63630
103,0,0,2,0,63629
65,0,0,2,0,63628
187,0,0,17,0,63627
254,0,0,14,0,63626
90,0,0,11,0,63625
248,0,0,12,0,63624
265,0,0,21,0,63623
286,0,0,27,0,63622
83,0,0,11,0,63621
246,0,0,12,0,63620
112,0,0,2,0,63619
84,0,0,11,0,63618
89,0,0,11,0,63617
142,0,0,12,0,63616
86,0,0,11,0,63615
87,0,0,11,0,63614
157,0,0,13,0,63613
85,0,0,11,0,63612
88,0,0,11,0,63611
164,0,0,10,0,63610
203,0,0,16,0,63609
285,0,0,24,0,63608
146,0,0,12,0,63607
27,0,0,12,0,63606
72,0,0,7,0,63605
140,0,0,12,0,63604
24,0,0,13,0,63603
124,0,0,1,0,63602
170,0,0,14,0,63601
185,0,0,15,0,63600
180,0,0,18,0,63599
105,0,0,1,0,63598
270,0,0,10,0,63597
144,0,0,13,0,63596
39,0,0,12,0,63595
116,0,0,1,0,63594
224,0,0,12,0,63593
114,0,0,1,0,63592
287,0,0,9,0,63591
152,0,0,12,0,63590
194,0,0,23,0,63589
390,0,0,2,0,63588
237,0,0,12,0,63587
26,0,0,16,0,63586
162,0,0,11,0,63585
148,0,0,14,0,63584
337,0,0,7,0,63583
229,0,0,13,0,63582
18,0,0,12,0,63581
44,0,0,12,0,63580
301,0,0,3,0,63579
32,0,0,15,0,63578
21,0,0,12,0,63577
283,0,0,12,0,63576
199,0,0,16,0,63575
271,0,0,13,0,63574
290,0,0,9,0,63573
98,0,0,2,0,63572
126,0,0,0,0,63571
165,0,0,13,0,63570
182,0,0,16,0,63569
195,0,0,26,0,63568
93,0,0,8,0,63567
263,0,0,13,0,63566
