index,x_offset,y_offset,x_advance,y_advance,codepoint
64,0,0,8,0,63743
65,0,0,4,0,63742
67,0,0,5,0,63741
71,0,0,11,0,63740
49,0,0,16,0,63739
23,0,0,16,0,63738
38,0,0,16,0,63737
42,0,0,14,0,63736
50,0,0,12,0,63735
48,0,0,11,0,63734
72,0,0,9,0,63733
55,0,0,15,0,63732
77,0,0,0,0,63731
6,0,0,7,0,63730
44,0,0,14,0,63729
58,0,0,19,0,63728
52,0,0,13,0,63727
163,0,0,24,0,63726
33,0,0,9,0,63725
203,0,0,20,0,63724
196,0,0,27,0,63723
162,0,0,4,0,63722
118,0,0,12,0,63721
37,0,0,21,0,63720
53,0,0,11,0,63719
40,0,0,10,0,63718
160,0,0,4,0,63717
119,0,0,19,0,63716
66,0,0,4,0,63715
56,0,0,16,0,63714
51,0,0,11,0,63713
242,0,0,6,0,63712
25,0,0,14,0,63711
208,0,0,14,0,63710
9,0,0,23,0,63709
117,0,0,17,0,63708
68,0,0,5,0,63707
28,0,0,15,0,63706
184,0,0,9,0,63705
176,0,0,15,0,63704
59,0,0,19,0,63703
57,0,0,18,0,63702
175,0,0,24,0,63701
191,0,0,23,0,63700
47,0,0,10,0,63699
46,0,0,20,0,63698
30,0,0,15,0,63697
120,0,0,16,0,63696
222,0,0,13,0,63695
223,0,0,22,0,63694
41,0,0,14,0,63693
161,0,0,4,0,63692
220,0,0,11,0,63691
54,0,0,10,0,63690
73,0,0,22,0,63689
35,0,0,19,0,63688
206,0,0,21,0,63687
69,0,0,4,0,63686
205,0,0,17,0,63685
10,0,0,26,0,63684
167,0,0,26,0,63683
17,0,0,20,0,63682
13,0,0,11,0,63681
173,0,0,17,0,63680
11,0,0,15,0,63679
45,0,0,18,0,63678
24,0,0,16,0,63677
216,0,0,19,0,63676
200,0,0,18,0,63675
183,0,0,34,0,63674
7,0,0,5,0,63673
201,0,0,15,0,63672
215,0,0,19,0,63671
204,0,0,17,0,63670
83,0,0,12,0,63669
39,0,0,14,0,63668
233,0,0,30,0,63667
190,0,0,21,0,63666
20,0,0,12,0,63665
26,0,0,21,0,63664
219,0,0,16,0,63663
164,0,0,28,0,63662
243,0,0,6,0,63661
180,0,0,26,0,63660
232,0,0,19,0,63659
231,0,0,19,0,63658
34,0,0,10,0,63657
202,0,0,24,0,63656
116,0,0,24,0,63655
197,0,0,26,0,63654
187,0,0,31,0,63653
225,0,0,15,0,63652
179,0,0,37,0,63651
194,0,0,23,0,63650
18,0,0,20,0,63649
221,0,0,13,0,63648
21,0,0,20,0,63647
195,0,0,26,0,63646
32,0,0,23,0,63645
78,-9,2,0,0,63644
168,0,0,14,0,63643
78,-5,2,0,0,63642
199,0,0,10,0,63641
78,-3,2,0,0,63640
226,0,0,24,0,63639
27,0,0,17,0,63638
178,0,0,30,0,63637
78,-7,2,0,0,63636
177,0,0,15,0,63635
166,0,0,16,0,63634
63,0,0,7,0,63633
235,0,0,19,0,63632
78,-4,2,0,0,63631
19,0,0,31,0,63630
12,0,0,27,0,63629
171,0,0,19,0,63628
182,0,0,26,0,63627
29,0,0,21,0,63626
209,0,0,14,0,63625
353,0,0,9,0,63624
36,0,0,21,0,63623
228,0,0,16,0,63622
14,0,0,23,0,63621
192,0,0,21,0,63620
238,0,0,4,0,63619
78,-6,2,0,0,63618
207,0,0,25,0,63617
172,0,0,14,0,63616
214,0,0,20,0,63615
246,0,0,5,0,63614
77,3,0,0,0,63613
234,0,0,19,0,63612
22,0,0,24,0,63611
211,0,0,20,0,63610
100,0,0,12,0,63609
193,0,0,22,0,63608
77,3,-1,0,0,63607
97,0,0,14,0,63606
210,0,0,18,0,63605
189,0,0,24,0,63604
15,0,0,14,0,63603
229,0,0,16,0,63602
96,0,0,9,0,63601
236,0,0,22,0,63600
78,-1,2,0,0,63599
105,0,0,18,0,63598
