index,x_offset,y_offset,x_advance,y_advance,codepoint
59,0,0,3,0,63743
46,0,0,12,0,63742
69,0,0,8,0,63741
829,0,0,12,0,63740
39,0,0,11,0,63739
42,0,0,11,0,63738
60,-11,0,0,0,63737
44,0,0,12,0,63736
60,-10,0,0,0,63735
52,0,0,11,0,63734
40,0,0,12,0,63733
850,0,0,11,0,63732
47,0,0,13,0,63731
62,0,0,5,0,63730
37,0,0,12,0,63729
22,0,0,12,0,63728
63,-8,0,0,0,63727
818,0,0,11,0,63726
825,0,0,12,0,63725
48,0,0,12,0,63724
50,0,0,12,0,63723
819,0,0,12,0,63722
30,0,0,11,0,63721
803,0,0,14,0,63720
34,0,0,12,0,63719
808,0,0,13,0,63718
25,0,0,11,0,63717
266,0,0,12,0,63716
212,0,0,7,0,63715
802,0,0,11,0,63714
78,0,0,13,0,63713
63,-10,0,0,0,63712
63,-11,0,0,0,63711
63,-13,0,0,0,63710
36,0,0,11,0,63709
813,0,0,11,0,63708
61,-12,0,0,0,63707
21,0,0,12,0,63706
845,0,0,11,0,63705
38,0,0,11,0,63704
45,0,0,12,0,63703
81,-7,0,0,0,63702
854,0,0,12,0,63701
81,-8,0,0,0,63700
6,0,0,5,0,63699
816,0,0,11,0,63698
125,0,0,12,0,63697
849,0,0,12,0,63696
215,-8,0,0,0,63695
811,0,0,11,0,63694
270,0,0,15,0,63693
41,0,0,14,0,63692
315,0,0,10,0,63691
31,0,0,12,0,63690
63,-12,0,0,0,63689
836,0,0,9,0,63688
288,0,0,12,0,63687
77,-5,0,0,0,63686
256,0,0,12,0,63685
810,-8,0,0,0,63684
853,0,0,9,0,63683
856,-8,0,0,0,63682
85,0,0,9,0,63681
120,0,0,11,0,63680
77,-3,0,0,0,63679
23,0,0,12,0,63678
61,-11,0,0,0,63677
852,0,0,9,0,63676
89,0,0,9,0,63675
319,0,0,12,0,63674
817,0,0,9,0,63673
77,-7,0,0,0,63672
835,0,0,9,0,63671
310,0,0,12,0,63670
847,0,0,9,0,63669
93,0,0,9,0,63668
848,0,0,9,0,63667
63,-9,0,0,0,63666
360,0,0,13,0,63665
65,-10,0,0,0,63664
294,0,0,13,0,63663
18,0,0,11,0,63662
368,0,0,11,0,63661
339,0,0,11,0,63660
286,0,0,12,0,63659
250,0,0,13,0,63658
322,0,0,12,0,63657
830,0,0,12,0,63656
279,0,0,10,0,63655
370,0,0,11,0,63654
374,0,0,11,0,63653
356,0,0,11,0,63652
107,0,0,12,0,63651
28,0,0,11,0,63650
76,0,0,3,0,63649
308,0,0,13,0,63648
161,0,0,10,0,63647
281,0,0,12,0,63646
65,-8,0,0,0,63645
7,0,0,7,0,63644
54,0,0,11,0,63643
383,0,0,10,0,63642
291,0,0,12,0,63641
134,0,0,12,0,63640
127,0,0,11,0,63639
75,-10,0,0,0,63638
842,0,0,11,0,63637
122,0,0,12,0,63636
77,-4,0,0,0,63635
320,0,0,12,0,63634
336,0,0,12,0,63633
856,-13,0,0,0,63632
277,0,0,10,0,63631
815,0,0,11,0,63630
352,0,0,12,0,63629
389,-12,0,0,0,63628
325,0,0,10,0,63627
260,0,0,11,0,63626
366,0,0,12,0,63625
63,-14,0,0,0,63624
389,-13,0,0,0,63623
210,-7,0,0,0,63622
856,-14,0,0,0,63621
362,0,0,13,0,63620
115,0,0,11,0,63619
60,-14,0,0,0,63618
60,-12,0,0,0,63617
273,0,0,12,0,63616
314,0,0,11,0,63615
174,0,0,10,0,63614
60,-13,0,0,0,63613
340,0,0,13,0,63612
205,-6,0,0,0,63611
363,0,0,12,0,63610
301,0,0,11,0,63609
156,0,0,11,0,63608
327,0,0,12,0,63607
856,-11,0,0,0,63606
824,0,0,12,0,63605
142,0,0,11,0,63604
316,0,0,10,0,63603
307,0,0,13,0,63602
194,-8,0,0,0,63601
169,0,0,12,0,63600
202,-9,-1,0,0,63599
820,-11,0,0,0,63598
302,0,0,12,0,63597
379,0,0,10,0,63596
104,0,0,12,0,63595
240,0,0,8,0,63594
272,0,0,12,0,63593
189,-5,0,0,0,63592
372,0,0,10,0,63591
369,0,0,10,0,63590
345,0,0,11,0,63589
303,0,0,11,0,63588
74,-9,0,0,0,63587
63,-11,-3,0,0,63586
253,0,0,11,0,63585
283,0,0,12,0,63584
65,-12,0,0,0,63583
205,-7,0,0,0,63582
846,0,0,11,0,63581
205,-8,0,0,0,63580
162,0,0,11,0,63579
318,0,0,10,0,63578
203,-7,0,0,0,63577
61,-14,0,0,0,63576
164,0,0,11,0,63575
14,0,0,13,0,63574
166,0,0,11,0,63573
342,0,0,11,0,63572
361,0,0,13,0,63571
856,-10,0,0,0,63570
263,0,0,11,0,63569
375,0,0,10,0,63568
144,0,0,11,0,63567
287,0,0,12,0,63566
354,0,0,12,0,63565
159,0,0,11,0,63564
163,0,0,13,0,63563
463,0,0,10,0,63562
136,0,0,11,0,63561
856,-12,0,0,0,63560
298,0,0,11,0,63559
198,-5,0,0,0,63558
295,0,0,13,0,63557
274,0,0,11,0,63556
248,0,0,11,0,63555
364,0,0,11,0,63554
312,0,0,10,0,63553
378,0,0,10,0,63552
814,0,0,11,0,63551
809,0,0,13,0,63550
126,0,0,14,0,63549
405,-11,0,0,0,63548
202,-7,-1,0,0,63547
207,-6,0,0,0,63546
371,0,0,10,0,63545
479,-8,-3,0,0,63544
152,0,0,10,0,63543
172,0,0,11,0,63542
189,-7,0,0,0,63541
333,0,0,12,0,63540
63,-8,-3,0,0,63539
851,0,0,12,0,63538
202,-10,-1,0,0,63537
358,0,0,12,0,63536
57,-11,-1,0,0,63535
385,0,0,10,0,63534
203,-5,0,0,0,63533
173,0,0,11,0,63532
254,0,0,12,0,63531
390,-13,0,0,0,63530
57,0,0,0,0,63529
129,0,0,12,0,63528
269,0,0,15,0,63527
65,-13,0,0,0,63526
299,0,0,12,0,63525
329,0,0,11,0,63524
258,0,0,12,0,63523
826,0,0,11,0,63522
328,0,0,13,0,63521
855,0,0,13,0,63520
157,0,0,11,0,63519
191,-8,0,0,0,63518
180,-8,0,0,0,63517
207,-4,0,0,0,63516
61,-12,1,0,0,63515
338,0,0,14,0,63514
0,0,0,19,0,63513
58,0,0,6,0,63512
473,-10,-3,0,0,63511
255,0,0,11,0,63510
19,0,0,14,0,63509
243,0,0,5,0,63508
278,0,0,11,0,63507
382,0,0,10,0,63506
479,-9,-3,0,0,63505
311,0,0,14,0,63504
77,-8,0,0,0,63503
271,0,0,14,0,63502
203,-8,0,0,0,63501
335,0,0,12,0,63500
373,0,0,12,0,63499
810,-9,0,0,0,63498
280,0,0,10,0,63497
479,-8,-4,0,0,63496
210,-5,0,0,0,63495
17,0,0,14,0,63494
290,0,0,11,0,63493
828,0,0,12,0,63492
121,0,0,11,0,63491
65,-7,-2,0,0,63490
462,0,0,11,0,63489
262,0,0,11,0,63488
207,0,0,0,0,63487
461,0,0,11,0,63486
380,0,0,10,0,63485
357,0,0,12,0,63484
331,0,0,11,0,63483
384,0,0,10,0,63482
170,0,0,11,0,63481
106,0,0,12,0,63480
143,0,0,11,0,63479
61,-13,0,0,0,63478
29,0,0,12,0,63477
857,0,0,11,0,63476
289,0,0,11,0,63475
216,0,0,7,0,63474
241,0,0,8,0,63473
207,-7,0,0,0,63472
810,-7,0,0,0,63471
154,0,0,11,0,63470
351,0,0,12,0,63469
206,-6,0,0,0,63468
124,0,0,11,0,63467
198,-7,0,0,0,63466
459,0,0,12,0,63465
330,0,0,12,0,63464
265,0,0,11,0,63463
147,0,0,10,0,63462
158,0,0,10,0,63461
137,0,0,11,0,63460
347,0,0,12,0,63459
833,0,0,12,0,63458
65,-8,-3,0,0,63457
479,-7,-3,0,0,63456
460,0,0,12,0,63455
211,-8,0,0,0,63454
57,-10,-1,0,0,63453
108,0,0,12,0,63452
285,0,0,11,0,63451
405,-13,0,0,0,63450
334,0,0,11,0,63449
305,0,0,11,0,63448
309,0,0,13,0,63447
167,0,0,12,0,63446
185,-5,0,0,0,63445
297,0,0,11,0,63444
324,0,0,12,0,63443
337,0,0,12,0,63442
77,0,0,0,0,63441
275,0,0,13,0,63440
182,-7,0,0,0,63439
481,-12,0,0,0,63438
160,0,0,10,0,63437
479,-5,-3,0,0,63436
856,-9,0,0,0,63435
196,-6,0,0,0,63434
165,0,0,12,0,63433
843,0,0,11,0,63432
77,-2,-4,0,0,63431
468,0,0,11,0,63430
182,-5,0,0,0,63429
180,-6,0,0,0,63428
321,0,0,12,0,63427
201,-8,0,0,0,63426
313,0,0,10,0,63425
484,-10,-4,0,0,63424
187,-8,0,0,0,63423
464,0,0,13,0,63422
208,-7,0,0,0,63421
481,-10,-2,0,0,63420
55,0,0,13,0,63419
194,-10,0,0,0,63418
488,-11,-2,0,0,63417
206,-8,0,0,0,63416
349,0,0,12,0,63415
856,-11,-3,0,0,63414
478,-10,-3,0,0,63413
179,0,0,12,0,63412
478,-10,-2,0,0,63411
211,-5,0,0,0,63410
185,-7,0,0,0,63409
77,-4,-4,0,0,63408
63,0,0,0,0,63407
184,-8,0,0,0,63406
343,0,0,11,0,63405
203,-11,-2,0,0,63404
282,0,0,13,0,63403
175,0,0,10,0,63402
196,-7,0,0,0,63401
196,-8,0,0,0,63400
148,0,0,11,0,63399
