index,x_offset,y_offset,x_advance,y_advance,codepoint
41,0,0,10,0,63743
18,0,0,13,0,63742
25,0,0,13,0,63741
36,0,0,16,0,63740
28,0,0,12,0,63739
48,0,0,18,0,63738
30,0,0,15,0,63737
47,0,0,11,0,63736
77,0,0,13,0,63735
166,0,0,4,0,63734
29,0,0,13,0,63733
46,0,0,14,0,63732
86,0,0,19,0,63731
31,0,0,10,0,63730
42,0,0,4,0,63729
165,0,0,4,0,63728
88,0,0,13,0,63727
20,0,0,11,0,63726
27,0,0,19,0,63725
84,0,0,13,0,63724
23,0,0,11,0,63723
87,0,0,12,0,63722
33,0,0,16,0,63721
41,0,0,9,0,63720
92,0,0,16,0,63719
32,0,0,14,0,63718
140,0,0,16,0,63717
102,0,0,17,0,63716
122,0,0,17,0,63715
34,0,0,17,0,63714
82,0,0,11,0,63713
90,0,0,10,0,63712
167,0,0,4,0,63711
116,0,0,16,0,63710
85,0,0,12,0,63709
91,0,0,14,0,63708
26,0,0,12,0,63707
78,0,0,16,0,63706
6,0,0,18,0,63705
114,0,0,12,0,63704
90,0,0,9,0,63703
79,0,0,11,0,63702
131,0,0,12,0,63701
8,0,0,18,0,63700
83,0,0,26,0,63699
143,0,0,18,0,63698
35,0,0,13,0,63697
134,0,0,18,0,63696
24,0,0,26,0,63695
89,0,0,15,0,63694
93,0,0,17,0,63693
137,0,0,15,0,63692
145,0,0,20,0,63691
10,0,0,17,0,63690
108,0,0,14,0,63689
156,0,0,16,0,63688
34,0,0,16,0,63687
93,0,0,16,0,63686
31,0,0,9,0,63685
128,0,0,22,0,63684
147,0,0,20,0,63683
150,0,0,23,0,63682
98,0,0,20,0,63681
12,0,0,12,0,63680
153,0,0,18,0,63679
83,0,0,25,0,63678
103,0,0,21,0,63677
15,0,0,15,0,63676
21,0,0,16,0,63675
24,0,0,25,0,63674
94,0,0,13,0,63673
81,0,0,19,0,63672
18,0,0,12,0,63671
7,0,0,21,0,63670
7,0,0,20,0,63669
243,0,0,9,0,63668
84,0,0,12,0,63667
95,0,0,16,0,63666
40,0,0,25,0,63665
23,0,0,10,0,63664
25,0,0,12,0,63663
124,0,0,12,0,63662
135,0,0,19,0,63661
155,0,0,16,0,63660
82,0,0,10,0,63659
121,0,0,13,0,63658
38,0,0,21,0,63657
119,0,0,29,0,63656
12,0,0,13,0,63655
132,0,0,15,0,63654
5,0,0,14,0,63653
107,0,0,11,0,63652
133,0,0,13,0,63651
39,0,0,20,0,63650
13,0,0,12,0,63649
109,0,0,19,0,63648
114,0,0,11,0,63647
22,0,0,19,0,63646
97,0,0,21,0,63645
101,0,0,13,0,63644
16,0,0,15,0,63643
11,0,0,24,0,63642
102,0,0,16,0,63641
9,0,0,11,0,63640
132,0,0,14,0,63639
125,0,0,17,0,63638
130,0,0,12,0,63637
14,0,0,16,0,63636
126,0,0,22,0,63635
138,0,0,18,0,63634
13,0,0,13,0,63633
141,0,0,18,0,63632
123,0,0,23,0,63631
123,0,0,22,0,63630
159,0,0,24,0,63629
81,0,0,18,0,63628
148,0,0,25,0,63627
139,0,0,10,0,63626
80,0,0,16,0,63625
115,0,0,12,0,63624
52,0,0,0,0,63623
164,0,0,4,0,63622
146,0,0,16,0,63621
136,0,0,15,0,63620
142,0,0,14,0,63619
138,0,0,17,0,63618
129,0,0,28,0,63617
44,0,0,8,0,63616
157,0,0,19,0,63615
54,0,0,16,0,63614
76,0,0,29,0,63613
127,0,0,19,0,63612
139,0,0,9,0,63611
54,0,0,17,0,63610
99,0,0,25,0,63609
110,0,0,16,0,63608
7,0,0,19,0,63607
163,0,0,24,0,63606
45,0,0,13,0,63605
10,0,0,16,0,63604
86,0,0,18,0,63603
117,0,0,14,0,63602
41,0,0,8,0,63601
151,0,0,25,0,63600
92,0,0,15,0,63599
19,0,0,16,0,63598
150,0,0,22,0,63597
90,0,0,8,0,63596
139,0,0,11,0,63595
107,0,0,12,0,63594
138,0,0,16,0,63593
44,0,0,7,0,63592
161,0,0,25,0,63591
118,0,0,26,0,63590
144,0,0,23,0,63589
132,0,0,13,0,63588
27,0,0,18,0,63587
129,0,0,27,0,63586
149,0,0,17,0,63585
66,0,0,14,0,63584
57,0,0,17,0,63583
65,0,0,14,0,63582
60,0,0,16,0,63581
63,0,0,18,0,63580
56,0,0,13,0,63579
58,0,0,15,0,63578
62,0,0,13,0,63577
59,0,0,15,0,63576
61,0,0,16,0,63575
64,0,0,18,0,63574
33,0,0,15,0,63573
22,0,0,18,0,63572
149,0,0,16,0,63571
127,0,0,20,0,63570
93,0,0,15,0,63569
109,0,0,18,0,63568
120,0,0,34,0,63567
160,0,0,20,0,63566
168,0,0,8,0,63565
118,0,0,25,0,63564
157,0,0,18,0,63563
103,0,0,20,0,63562
100,0,0,29,0,63561
31,0,0,8,0,63560
152,0,0,13,0,63559
158,0,0,21,0,63558
141,0,0,17,0,63557
32,0,0,13,0,63556
154,0,0,19,0,63555
17,0,0,32,0,63554
20,0,0,10,0,63553
83,0,0,24,0,63552
117,0,0,13,0,63551
169,0,0,13,0,63550
34,0,0,15,0,63549
118,0,0,27,0,63548
55,0,0,10,0,63547
151,0,0,24,0,63546
43,0,0,0,0,63545
67,0,0,15,0,63544
168,0,0,7,0,63543
0,0,0,9,0,63542
149,0,0,18,0,63541
24,0,0,24,0,63540
37,0,0,18,0,63539
157,0,0,17,0,63538
17,0,0,31,0,63537
162,0,0,29,0,63536
105,0,0,16,0,63535
134,0,0,17,0,63534
112,0,0,19,0,63533
153,0,0,17,0,63532
13,0,0,11,0,63531
12,0,0,11,0,63530
91,0,0,13,0,63529
96,0,0,18,0,63528
4,-9,0,0,0,63527
111,0,0,19,0,63526
139,0,0,8,0,63525
4,-7,0,6,0,63524
68,0,0,15,0,63523
113,0,0,24,0,63522
9,0,0,10,0,63521
79,0,0,10,0,63520
4,-11,0,0,0,63519
44,0,0,5,0,63518
4,-8,0,0,0,63517
4,-13,0,0,0,63516
4,-15,0,0,0,63515
70,0,0,35,0,63514
53,0,0,18,0,63513
73,0,0,31,0,63512
107,0,0,10,0,63511
113,0,0,25,0,63510
4,0,0,6,0,63509
148,0,0,24,0,63508
4,-17,0,6,0,63507
4,-12,0,0,0,63506
4,-19,0,0,0,63505
142,0,0,13,0,63504
54,0,0,15,0,63503
4,-10,0,0,0,63502
69,0,0,20,0,63501
71,0,0,16,0,63500
127,0,0,18,0,63499
4,-9,0,6,0,63498
104,0,0,16,0,63497
74,0,0,16,0,63496
75,0,0,19,0,63495
123,0,0,21,0,63494
72,0,0,21,0,63493
146,0,0,15,0,63492
106,0,0,19,0,63491
4,-21,0,0,0,63490
4,-17,0,0,0,63489
106,0,0,18,0,63488
4,-20,0,6,0,63487
126,0,0,21,0,63486
4,-16,0,0,0,63485
168,0,0,5,0,63484
4,-20,0,0,0,63483
4,-18,0,0,0,63482
4,-11,0,6,0,63481
4,-23,0,0,0,63480
4,-19,0,6,0,63479
56,0,0,12,0,63478
4,-14,0,6,0,63477
4,-13,0,6,0,63476
4,-12,0,6,0,63475
4,-23,0,6,0,63474
4,-22,0,0,0,63473
4,-68,0,6,0,63472
4,-25,0,0,0,63471
4,-27,0,0,0,63470
4,-30,0,6,0,63469
4,-36,0,6,0,63468
106,0,0,17,0,63467
