index,x_offset,y_offset,x_advance,y_advance,codepoint
63,0,0,5,0,63743
6,0,0,8,0,63742
42,0,0,11,0,63741
49,0,0,9,0,63740
51,0,0,11,0,63739
47,0,0,17,0,63738
23,0,0,8,0,63737
38,0,0,12,0,63736
40,0,0,11,0,63735
57,0,0,11,0,63734
25,0,0,9,0,63733
43,0,0,11,0,63732
48,0,0,20,0,63731
196,0,0,11,0,63730
54,0,0,11,0,63729
35,0,0,12,0,63728
778,0,0,7,0,63727
5,0,0,5,0,63726
45,0,0,12,0,63725
28,0,0,12,0,63724
203,0,0,9,0,63723
33,0,0,12,0,63722
64,0,0,10,0,63721
207,0,0,11,0,63720
772,0,0,5,0,63719
777,0,0,7,0,63718
171,0,0,16,0,63717
160,0,0,16,0,63716
194,0,0,11,0,63715
143,0,0,14,0,63714
192,0,0,12,0,63713
167,0,0,15,0,63712
30,0,0,11,0,63711
9,0,0,12,0,63710
771,0,0,4,0,63709
55,0,0,9,0,63708
205,0,0,11,0,63707
182,0,0,12,0,63706
58,0,0,16,0,63705
429,0,0,16,0,63704
161,0,0,16,0,63703
156,0,0,17,0,63702
46,0,0,12,0,63701
177,0,0,8,0,63700
189,0,0,12,0,63699
250,0,0,16,0,63698
773,0,0,6,0,63697
41,0,0,11,0,63696
174,0,0,16,0,63695
37,0,0,13,0,63694
158,0,0,16,0,63693
187,0,0,12,0,63692
141,0,0,14,0,63691
210,0,0,11,0,63690
767,0,0,6,0,63689
65,0,0,6,0,63688
56,0,0,11,0,63687
485,-1,0,0,0,63686
165,0,0,22,0,63685
42,0,0,10,0,63684
545,0,0,0,0,63683
252,0,0,16,0,63682
166,0,0,25,0,63681
202,0,0,20,0,63680
124,0,0,11,0,63679
490,-1,0,0,0,63678
169,0,0,16,0,63677
298,0,0,12,0,63676
312,0,0,11,0,63675
201,0,0,17,0,63674
179,0,0,9,0,63673
769,0,0,8,0,63672
10,0,0,12,0,63671
232,0,0,11,0,63670
323,0,0,11,0,63669
480,-2,0,0,0,63668
310,0,0,11,0,63667
540,0,0,0,0,63666
416,0,0,15,0,63665
167,0,0,14,0,63664
775,0,0,6,0,63663
141,0,0,13,0,63662
148,0,0,16,0,63661
365,0,0,12,0,63660
561,0,0,0,0,63659
7,0,0,5,0,63658
197,0,0,11,0,63657
321,0,0,11,0,63656
175,0,0,16,0,63655
165,0,0,21,0,63654
52,0,0,10,0,63653
262,0,0,12,0,63652
104,0,0,8,0,63651
146,0,0,17,0,63650
24,0,0,12,0,63649
285,0,0,11,0,63648
485,-6,0,0,0,63647
276,0,0,11,0,63646
421,0,0,16,0,63645
490,-6,0,0,0,63644
47,0,0,16,0,63643
769,0,0,7,0,63642
163,0,0,17,0,63641
